<details> <summary> <b>luci-theme-aurora new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/eamonxg/luci-theme-aurora/compare/76ab48a4fb518ba6e25150093fdba55b559ecda4...67d0d63dd41e12df9c8c481d4b83ce3fb3e47bb7)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
67d0d63|Eamon|Thu Jul 23 21:31:15 2026 +0800|docs: add the eamonxg package feed as an install method
96054be|Eamon|Thu Jul 23 20:16:19 2026 +0800|chore: untrack local superpowers spec doc
c096d63|Eamon|Thu Jul 23 16:57:44 2026 +0800|ci: emit the missing-token annotation on stdout
ed08cb0|Eamon|Thu Jul 23 16:56:14 2026 +0800|ci: fail the release when the feed is never notified
b2d83a7|Eamon|Thu Jul 23 14:53:52 2026 +0800|docs: specify Aurora release poster
7ab8b09|Eamon|Thu Jul 23 12:54:45 2026 +0800|ci: dispatch openwrt-feed rebuild on tag release
7f0ef46|Eamon|Thu Jul 23 01:23:30 2026 +0800|fix: unify header glyphs on the Tabler set
3cd64d3|eamonxg|Wed Jul 22 22:17:52 2026 +0800|feat: upgrade header route search into a command palette (#91)
</details>
